Date_Key,Tanggal,Hari,Bulan,Quarter,Tahun
20200102,2020-01-02,Thursday,1,2020Q1,2020
20200103,2020-01-03,Friday,1,2020Q1,2020
20200106,2020-01-06,Monday,1,2020Q1,2020
20200107,2020-01-07,Tuesday,1,2020Q1,2020
20200108,2020-01-08,Wednesday,1,2020Q1,2020
20200109,2020-01-09,Thursday,1,2020Q1,2020
20200110,2020-01-10,Friday,1,2020Q1,2020
20200113,2020-01-13,Monday,1,2020Q1,2020
20200114,2020-01-14,Tuesday,1,2020Q1,2020
20200115,2020-01-15,Wednesday,1,2020Q1,2020
20200116,2020-01-16,Thursday,1,2020Q1,2020
20200117,2020-01-17,Friday,1,2020Q1,2020
20200120,2020-01-20,Monday,1,2020Q1,2020
20200121,2020-01-21,Tuesday,1,2020Q1,2020
20200122,2020-01-22,Wednesday,1,2020Q1,2020
20200123,2020-01-23,Thursday,1,2020Q1,2020
20200124,2020-01-24,Friday,1,2020Q1,2020
20200127,2020-01-27,Monday,1,2020Q1,2020
20200128,2020-01-28,Tuesday,1,2020Q1,2020
20200129,2020-01-29,Wednesday,1,2020Q1,2020
20200130,2020-01-30,Thursday,1,2020Q1,2020
20200131,2020-01-31,Friday,1,2020Q1,2020
20200203,2020-02-03,Monday,2,2020Q1,2020
20200204,2020-02-04,Tuesday,2,2020Q1,2020
20200205,2020-02-05,Wednesday,2,2020Q1,2020
20200206,2020-02-06,Thursday,2,2020Q1,2020
20200207,2020-02-07,Friday,2,2020Q1,2020
20200210,2020-02-10,Monday,2,2020Q1,2020
20200211,2020-02-11,Tuesday,2,2020Q1,2020
20200212,2020-02-12,Wednesday,2,2020Q1,2020
20200213,2020-02-13,Thursday,2,2020Q1,2020
20200214,2020-02-14,Friday,2,2020Q1,2020
20200217,2020-02-17,Monday,2,2020Q1,2020
20200218,2020-02-18,Tuesday,2,2020Q1,2020
20200219,2020-02-19,Wednesday,2,2020Q1,2020
20200220,2020-02-20,Thursday,2,2020Q1,2020
20200221,2020-02-21,Friday,2,2020Q1,2020
20200224,2020-02-24,Monday,2,2020Q1,2020
20200225,2020-02-25,Tuesday,2,2020Q1,2020
20200226,2020-02-26,Wednesday,2,2020Q1,2020
20200227,2020-02-27,Thursday,2,2020Q1,2020
20200228,2020-02-28,Friday,2,2020Q1,2020
20200302,2020-03-02,Monday,3,2020Q1,2020
20200303,2020-03-03,Tuesday,3,2020Q1,2020
20200304,2020-03-04,Wednesday,3,2020Q1,2020
20200305,2020-03-05,Thursday,3,2020Q1,2020
20200306,2020-03-06,Friday,3,2020Q1,2020
20200309,2020-03-09,Monday,3,2020Q1,2020
20200310,2020-03-10,Tuesday,3,2020Q1,2020
20200311,2020-03-11,Wednesday,3,2020Q1,2020
20200312,2020-03-12,Thursday,3,2020Q1,2020
20200313,2020-03-13,Friday,3,2020Q1,2020
20200316,2020-03-16,Monday,3,2020Q1,2020
20200317,2020-03-17,Tuesday,3,2020Q1,2020
20200318,2020-03-18,Wednesday,3,2020Q1,2020
20200319,2020-03-19,Thursday,3,2020Q1,2020
20200320,2020-03-20,Friday,3,2020Q1,2020
20200323,2020-03-23,Monday,3,2020Q1,2020
20200324,2020-03-24,Tuesday,3,2020Q1,2020
20200326,2020-03-26,Thursday,3,2020Q1,2020
20200327,2020-03-27,Friday,3,2020Q1,2020
20200330,2020-03-30,Monday,3,2020Q1,2020
20200331,2020-03-31,Tuesday,3,2020Q1,2020
20200401,2020-04-01,Wednesday,4,2020Q2,2020
20200402,2020-04-02,Thursday,4,2020Q2,2020
20200403,2020-04-03,Friday,4,2020Q2,2020
20200406,2020-04-06,Monday,4,2020Q2,2020
20200407,2020-04-07,Tuesday,4,2020Q2,2020
20200408,2020-04-08,Wednesday,4,2020Q2,2020
20200409,2020-04-09,Thursday,4,2020Q2,2020
20200413,2020-04-13,Monday,4,2020Q2,2020
20200414,2020-04-14,Tuesday,4,2020Q2,2020
20200415,2020-04-15,Wednesday,4,2020Q2,2020
20200416,2020-04-16,Thursday,4,2020Q2,2020
20200417,2020-04-17,Friday,4,2020Q2,2020
20200420,2020-04-20,Monday,4,2020Q2,2020
20200421,2020-04-21,Tuesday,4,2020Q2,2020
20200422,2020-04-22,Wednesday,4,2020Q2,2020
20200423,2020-04-23,Thursday,4,2020Q2,2020
20200424,2020-04-24,Friday,4,2020Q2,2020
20200427,2020-04-27,Monday,4,2020Q2,2020
20200428,2020-04-28,Tuesday,4,2020Q2,2020
20200429,2020-04-29,Wednesday,4,2020Q2,2020
20200430,2020-04-30,Thursday,4,2020Q2,2020
20200504,2020-05-04,Monday,5,2020Q2,2020
20200505,2020-05-05,Tuesday,5,2020Q2,2020
20200506,2020-05-06,Wednesday,5,2020Q2,2020
20200508,2020-05-08,Friday,5,2020Q2,2020
20200511,2020-05-11,Monday,5,2020Q2,2020
20200512,2020-05-12,Tuesday,5,2020Q2,2020
20200513,2020-05-13,Wednesday,5,2020Q2,2020
20200514,2020-05-14,Thursday,5,2020Q2,2020
20200515,2020-05-15,Friday,5,2020Q2,2020
20200518,2020-05-18,Monday,5,2020Q2,2020
20200519,2020-05-19,Tuesday,5,2020Q2,2020
20200520,2020-05-20,Wednesday,5,2020Q2,2020
20200526,2020-05-26,Tuesday,5,2020Q2,2020
20200527,2020-05-27,Wednesday,5,2020Q2,2020
20200528,2020-05-28,Thursday,5,2020Q2,2020
20200529,2020-05-29,Friday,5,2020Q2,2020
20200602,2020-06-02,Tuesday,6,2020Q2,2020
20200603,2020-06-03,Wednesday,6,2020Q2,2020
20200604,2020-06-04,Thursday,6,2020Q2,2020
20200605,2020-06-05,Friday,6,2020Q2,2020
20200608,2020-06-08,Monday,6,2020Q2,2020
20200609,2020-06-09,Tuesday,6,2020Q2,2020
20200610,2020-06-10,Wednesday,6,2020Q2,2020
20200611,2020-06-11,Thursday,6,2020Q2,2020
20200612,2020-06-12,Friday,6,2020Q2,2020
20200615,2020-06-15,Monday,6,2020Q2,2020
20200616,2020-06-16,Tuesday,6,2020Q2,2020
20200617,2020-06-17,Wednesday,6,2020Q2,2020
20200618,2020-06-18,Thursday,6,2020Q2,2020
20200619,2020-06-19,Friday,6,2020Q2,2020
20200622,2020-06-22,Monday,6,2020Q2,2020
20200623,2020-06-23,Tuesday,6,2020Q2,2020
20200624,2020-06-24,Wednesday,6,2020Q2,2020
20200625,2020-06-25,Thursday,6,2020Q2,2020
20200626,2020-06-26,Friday,6,2020Q2,2020
20200629,2020-06-29,Monday,6,2020Q2,2020
20200630,2020-06-30,Tuesday,6,2020Q2,2020
20200701,2020-07-01,Wednesday,7,2020Q3,2020
20200702,2020-07-02,Thursday,7,2020Q3,2020
20200703,2020-07-03,Friday,7,2020Q3,2020
20200706,2020-07-06,Monday,7,2020Q3,2020
20200707,2020-07-07,Tuesday,7,2020Q3,2020
20200708,2020-07-08,Wednesday,7,2020Q3,2020
20200709,2020-07-09,Thursday,7,2020Q3,2020
20200710,2020-07-10,Friday,7,2020Q3,2020
20200713,2020-07-13,Monday,7,2020Q3,2020
20200714,2020-07-14,Tuesday,7,2020Q3,2020
20200715,2020-07-15,Wednesday,7,2020Q3,2020
20200716,2020-07-16,Thursday,7,2020Q3,2020
20200717,2020-07-17,Friday,7,2020Q3,2020
20200720,2020-07-20,Monday,7,2020Q3,2020
20200721,2020-07-21,Tuesday,7,2020Q3,2020
20200722,2020-07-22,Wednesday,7,2020Q3,2020
20200723,2020-07-23,Thursday,7,2020Q3,2020
20200724,2020-07-24,Friday,7,2020Q3,2020
