Date_Key,Stock_Key,Previous,Open,Open_Original,Open_Was_Imputed,Open_Clean,High,Low,Close,Change,Daily_Return,Intraday_Return,Volume,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignBuy,ForeignSell,Net_Foreign_Flow,MA20,MA60,Rolling_Volatility_20D,Rolling_Avg_Volume_20D,Rolling_Net_Foreign_20D,Volume_Ratio_20D,Drawdown,Drawdown_Zone,Corporate_Action_Watch,Market_Status
20200102,1,4400.0,4400.0,4400.0,False,4400.0,4410.0,4360.0,4410.0,10.0,,0.0022727272727272726,41714100,183508035000,6352,4410,945200,4400,6400,29274200,20289400,8984800,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200103,1,4410.0,4420.0,4420.0,False,4420.0,4440.0,4390.0,4420.0,10.0,0.0022675736961450532,0.0,82898300,365419087000,8376,4420,4307300,4410,2575200,63063200,29514900,33548300,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200106,1,4420.0,4360.0,4360.0,False,4360.0,4390.0,4320.0,4370.0,-50.0,-0.011312217194570096,0.0022935779816513763,44225100,193264286000,7566,4380,669200,4370,9321100,24563900,24335100,228800,,,,,,,-0.011312217194570096,Normal Zone,Routine Monitoring,Normal
20200107,1,4370.0,4410.0,4410.0,False,4410.0,4410.0,4380.0,4400.0,30.0,0.006864988558352492,-0.0022675736961451248,103948100,457199315000,6281,4400,1465600,4390,11472700,81653500,43243800,38409700,,,,,,,-0.004524886877828038,Normal Zone,Routine Monitoring,Normal
20200108,1,4400.0,4380.0,4380.0,False,4380.0,4400.0,4340.0,4380.0,-20.0,-0.004545454545454519,0.0,171751200,753423105000,5197,4390,1789300,4380,8060000,141904700,56649600,85255100,,,,,,,-0.009049773755656076,Normal Zone,Routine Monitoring,Normal
20200109,1,4380.0,4400.0,4400.0,False,4400.0,4420.0,4370.0,4400.0,20.0,0.004566210045662045,0.0,72072000,316731147000,7476,4400,13296500,4390,15862600,40881500,42412700,-1531200,,,,,,,-0.004524886877828038,Normal Zone,Routine Monitoring,Normal
20200110,1,4400.0,4430.0,4430.0,False,4430.0,4430.0,4390.0,4410.0,10.0,0.002272727272727204,-0.004514672686230248,124809200,551127050000,5368,4420,438000,4410,535900,96706500,54698800,42007700,,,,,,,-0.002262443438914019,Normal Zone,Routine Monitoring,Normal
20200113,1,4410.0,4430.0,4430.0,False,4430.0,4510.0,4420.0,4510.0,100.0,0.0226757369614512,0.01805869074492099,111351400,499268600000,9695,4510,11847200,4500,20500,94186600,19105300,75081300,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200114,1,4510.0,4540.0,4540.0,False,4540.0,4600.0,4520.0,4570.0,60.0,0.013303769401330268,0.006607929515418502,158414200,723842665000,13581,4570,3906300,4560,90700,139210300,26111300,113099000,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200115,1,4570.0,4570.0,4570.0,False,4570.0,4580.0,4530.0,4580.0,10.0,0.002188183807439792,0.002188183807439825,102566700,468025745000,9182,4580,16893400,4560,100,59638200,55714600,3923600,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200116,1,4580.0,4570.0,4570.0,False,4570.0,4590.0,4510.0,4570.0,-10.0,-0.0021834061135370675,0.0,133986100,612161277000,9367,4580,228700,4570,39528800,69999600,67812700,2186900,,,,,,,-0.0021834061135370675,Normal Zone,Routine Monitoring,Normal
20200117,1,4570.0,4620.0,4620.0,False,4620.0,4640.0,4600.0,4630.0,60.0,0.013129102844638973,0.0021645021645021645,121175500,560459038000,10934,4640,15452100,4630,131100,111049800,31235100,79814700,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200120,1,4630.0,4690.0,4690.0,False,4690.0,4690.0,4630.0,4660.0,30.0,0.00647948164146861,-0.006396588486140725,81837500,381440248000,7663,4660,10503800,4650,7198200,65654000,9929600,55724400,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200121,1,4660.0,4670.0,4670.0,False,4670.0,4680.0,4640.0,4670.0,10.0,0.0021459227467810482,0.0,73839600,344701330000,9692,4670,63700,4660,11154900,57164900,25417600,31747300,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200122,1,4670.0,4680.0,4680.0,False,4680.0,4710.0,4670.0,4710.0,40.0,0.008565310492505418,0.00641025641025641,82370500,387041994000,8727,4710,2278400,4700,4777800,67718500,27910800,39807700,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200123,1,4710.0,4720.0,4720.0,False,4720.0,4760.0,4690.0,4740.0,30.0,0.006369426751592355,0.00423728813559322,139861200,662711604000,7788,4750,14755100,4740,36332800,94822700,93063900,1758800,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
20200124,1,4740.0,4730.0,4730.0,False,4730.0,4750.0,4680.0,4740.0,0.0,0.0,0.0021141649048625794,96017400,453980997000,6301,4750,10782600,4740,14720100,52058400,70598300,-18539900,,,,,,,0.0,Normal Zone,Routine Monitoring,Normal
