Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency,Open_Original,Open_Was_Imputed,Open_Clean,Daily_Return,Intraday_Return,Net_Foreign_Flow,Trading_Value_Trillion,Volume_Million,MA20,MA60,Rolling_Volatility_20D,Rolling_Avg_Volume_20D,Rolling_Net_Foreign_20D,Volume_Ratio_20D,Cumulative_Max_Close,Drawdown,Drawdown_Zone,Corporate_Action_Watch,Month,Year,Quarter,Market_Status
2020-01-02,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4400.0,4400.0,4410.0,4360.0,4410.0,10.0,41714100,183508035000,6352,5040.0,4410,945200,4400,6400,122112351900,122112351900,122112351900,20289400,29274200,21402754,94181598000,9,4400.0,False,4400.0,,0.0022727272727272726,8984800,0.183508035,41.7141,,,,,,,4410.0,0.0,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-03,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4410.0,4420.0,4440.0,4390.0,4420.0,10.0,82898300,365419087000,8376,5051.4,4420,4307300,4410,2575200,122112351900,122112351900,122112351900,29514900,63063200,1700153,7489175385,4,4420.0,False,4420.0,0.0022675736961450532,0.0,33548300,0.365419087,82.8983,,,,,,,4420.0,0.0,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-06,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4420.0,4360.0,4390.0,4320.0,4370.0,-50.0,44225100,193264286000,7566,4994.3,4380,669200,4370,9321100,122112351900,122112351900,122112351900,24335100,24563900,12979210,56801106400,16,4360.0,False,4360.0,-0.011312217194570096,0.0022935779816513763,228800,0.193264286,44.2251,,,,,,,4420.0,-0.011312217194570096,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-07,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4370.0,4410.0,4410.0,4380.0,4400.0,30.0,103948100,457199315000,6281,5028.6,4400,1465600,4390,11472700,122112351900,122112351900,122112351900,43243800,81653500,35043000,154059855200,9,4410.0,False,4410.0,0.006864988558352492,-0.0022675736961451248,38409700,0.457199315,103.9481,,,,,,,4420.0,-0.004524886877828038,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-08,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4400.0,4380.0,4400.0,4340.0,4380.0,-20.0,171751200,753423105000,5197,5005.7,4390,1789300,4380,8060000,122112351900,122112351900,122112351900,56649600,141904700,9221304,40516393960,11,4380.0,False,4380.0,-0.004545454545454519,0.0,85255100,0.753423105,171.7512,,,,,,,4420.0,-0.009049773755656076,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-09,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4380.0,4400.0,4420.0,4370.0,4400.0,20.0,72072000,316731147000,7476,5028.6,4400,13296500,4390,15862600,122112351900,122112351900,122112351900,42412700,40881500,14148320,62154954200,6,4400.0,False,4400.0,0.004566210045662045,0.0,-1531200,0.316731147,72.072,,,,,,,4420.0,-0.004524886877828038,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-10,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4400.0,4430.0,4430.0,4390.0,4410.0,10.0,124809200,551127050000,5368,5040.0,4420,438000,4410,535900,122112351900,122112351900,122112351900,54698800,96706500,36421713,160725116135,33,4430.0,False,4430.0,0.002272727272727204,-0.004514672686230248,42007700,0.55112705,124.8092,,,,,,,4420.0,-0.002262443438914019,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-13,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4410.0,4430.0,4510.0,4420.0,4510.0,100.0,111351400,499268600000,9695,5154.3,4510,11847200,4500,20500,122112351900,122112351900,122112351900,19105300,94186600,23319460,103699955600,39,4430.0,False,4430.0,0.0226757369614512,0.01805869074492099,75081300,0.4992686,111.3514,,,,,,,4510.0,0.0,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-14,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4510.0,4540.0,4600.0,4520.0,4570.0,60.0,158414200,723842665000,13581,5222.9,4570,3906300,4560,90700,122112351900,122112351900,122112351900,26111300,139210300,40752544,185430441000,13,4540.0,False,4540.0,0.013303769401330268,0.006607929515418502,113099000,0.723842665,158.4142,,,,,,,4570.0,0.0,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
2020-01-15,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--S8B3O1,4570.0,4570.0,4580.0,4530.0,4580.0,10.0,102566700,468025745000,9182,5234.3,4580,16893400,4560,100,122112351900,122112351900,122112351900,55714600,59638200,20443450,92531407272,14,4570.0,False,4570.0,0.002188183807439792,0.002188183807439825,3923600,0.468025745,102.5667,,,,,,,4580.0,0.0,Normal Zone,Routine Monitoring,2020-01,2020,2020Q1,Normal
